name,id
"LA CERVECERIA",2
"1 DARBAR",7
"1 KNICKERBOCKER",8
"1 NOCELLO",9
"1 OR 8",11
"1 VIZIO",13
"107 WEST",19
"1200 MILES",24
"121 FULTON STREET",25
"15 EAST RESTAURANT",29
"18TH STREET TARALLUCCI E VINO",34
"2 DARBAR GRILL",35
"2 WEST",37
"201 BAR AND RESTAURANT",39
"21 CLUB",40
"212 STEAKHOUSE",43
"2KAI SUSHI",44
"2ND AVE WINEBAR",45
"3 FORTY GRILL",47
"40/40 CLUB",55
"42 WEST",58
"44 & X",60
"44 1/2 HELLS KITCHEN",61
"44SW RISTORANTE & BAR",62
"48 LOUNGE",63
"5 AND DIAMOND",65
"5 LAMPS TAVERN",66
"5 NAPKIN BURGER",67
"5 NINTH",69
"508 RESTAURANT & BAR",70
"54 BELOW",71
"66 WATER STREET",78
"7 OLD FULTON",80
"7 SPICES",81
"83 1/2",86
"90 PARK",89
"9A KITCHEN AND LOUNGE",93
"A CASA FOX",94
"A LA TURKA RESTAURANT",95
"A VOCE COLUMBUS",98
"A VOCE MADISON",99
"AAMANNS",103
"AANGAN",104
"ABA TURKISH RESTAURANT",105
"ABBOCCATO",106
"ABC COCINA",108
"ABC KITCHEN",109
"ABE & ARTHURS",110
"ABIGAELS RESTAURANT",111
"ABISTRO ON DEKALB",113
"ACAPPELLA NORTHERN ITALIAN CUISINE",123
"ACELUCK",128
"ACME",129
"ACQUA",130
"ADRIATIC ITALIAN RESTAURANT",139
"AFFAIRE",142
"AFGHAN KEBAB HOUSE II",144
"AG BISTRO",145
"AG KITCHEN",146
"AGAVE",147
"AGED BAR & GRILL",149
"AGEHA",151
"AGOZAR CUBAN BISTRO",152
"AGRA RESTAURANT",154
"AI FIORI",156
"AINSWORTH PARK",157
"AJNA BAR",162
"AL BUSTAN",165
"AL HORNO LEAN MEXICAN KITCHEN",170
"ALACHI MASALA",171
"ALCALA",178
"ALCATRAZ",179
"ALDEA",181
"ALDER",182
"ALEO",183
"ALFAMA",188
"ALFANOOSE",189
"ALFREDO",190
"ALFREDO 100",191
"ALFREDO OF ROME",192
"ALIADA RESTAURANT",195
"ALIAS",196
"ALISON EIGHTEEN",198
"ALLORO",203
"ALMAYASS",207
"ALMOND",208
"ALOBAR RESTAURANT",209
"ALTESI RISTORANTE",214
"AMALI",221
"AMANDAS RESTAURANT",223
"AMARANTH",225
"AMARONE",228
"AMAZE FUSION RESTAURANT AND LOUNGE",229
"AMAZING 66",230
"AMBASSADOR GRILL â ONE UN NEW YORK HOTEL",232
"AMBER",233
"AMBER KIPSBAY",236
"AMBER UPPER EAST",237
"AMBER WEST VILLAGE",238
"AMELIE",241
"AMERICAN CUT",244
"AMERICAN CUT  THE MORRISON ROOM",245
"AMERICAN FLATBREAD TRIBECA HEARTH",246
"AMERICAN WHISKEY",247
"AMIGOS",251
"AMMA",255
"AMMOS ESTIATORIO",256
"AMOR CUBANO",257
"AMSTERDAM RESTAURANT & TAPAS LOUNGE",261
"AN NHAU",264
"ANASSA TAVERNA",266
"ANCORA",268
"ANDANADA",269
"ANDANADA 141",270
"ANDAZ",271
"ANELLA",279
"ANGELINA CAFE",280
"ANGELO BELLINI ITALIAN RESTAURANT",286
"ANGOLO SOHO",290
"ANGUS CLUB STEAKHOUSE",291
"ANGUS",294
"ANGUS CAFE BISTRO",295
"ANIMA ITALIAN BISTRO",297
"ANJAPPAR CHETTINAD",299
"ANNABEL",302
"ANNISA",303
"ANTALIA",305
"ANTIBES BISTRO",309
"ANTICA PESA",310
"ANTINORI",312
"ANTONIAS BY THE PARK",317
"ANTONUCCIS",318
"AOA BAR & GRILL",320
"AOC",321
"APARTMENT 13",324
"APARTMENT 138",325
"APIARY",327
"APIZZ",328
"APPETITO RISTORANTE",330
"APPLE RESTAURANT & BOMBAR",332
"APRÃ¨S",333
"APRÃ¨S SKI CHALET",334
"AQUAMARINE",337
"AQUAVIT",340
"ARABELLE",345
"ARABESQUE",346
"ARBOR BISTRO",347
"ARCANE",348
"ARCHIVES RESTAURANT",349
"ARCO CAFE",350
"ARDESIA WINE BAR",352
"ARETSKYS PATROON",354
"ARIANA",358
"ARIYOSHI JAPANESE RESTAURANT",361
"ARLINGTON CLUB",362
"ARMANDOS RESTAURANT & BAR",363
"ARMANI RISTORANTE 5TH AVENUE",364
"ARNO RISTORANTE",366
"AROMA",367
"AROMA KITCHEN & WINEBAR",369
"ARPEGGIO FOOD & WINE BAR",370
"ARRIBA ARRIBA MEXICAN RESTAURANT",371
"ARTE CAFE",374
"ARTE PASTA",375
"ARTE RESTAURANT",376
"ARTISANAL",380
"ARTISANAL FROMAGERIE BISTRO & WINE BAR",381
"ASELLINA RISTORANTE",384
"ASHTONS ALLEY",385
"ASIA KAN",387
"ASIA ROMA",388
"ASIATE",394
"ASKA",395
"ASPEN SOCIAL",398
"ASPEN SOCIAL CLUB",399
"ASTOR BAKE SHOP",403
"ASTOR COURT",404
"ASUKA SUSHI",405
"ASYA",406
"AT VERMILION",407
"ATAMI JAPANESE RESTAURANT",408
"ATERA",410
"ATLANTIC GRILL",413
"ATLANTIC GRILL NEAR LINCOLN CENTER",414
"ATLANTIC GRILL EASTSIDE",415
"ATRIO WINE BAR | RESTAURANT",422
"ATRIUM",423
"ATRIUM DUMBO",424
"AU ZAATAR",426
"AUDEN",427
"AUDEN BISTRO & BAR",428
"AURA THAI",430
"AUREOLE",431
"AURORA",432
"AVRA ESTIATORIO",440
"AWADH",441
"AYZA WINE & CHOCOLATE BAR",448
"AYZA WINE & CHOCOLATE BAR WEST VILLAGE",450
"AZASU",452
"AZUL ARGENTINE BISTRO",454
"AÃ±EJO TRIBECA",456
"B & CO NY",457
"B CAFE",459
"B CAFE WEST",460
"B SMITHS RESTAURANT ROW",461
"B4",465
"BABYLON HOOKAH LOUNGE",470
"BACARO",472
"BACCHANAL",473
"BACCHUS",474
"BACI ABBRACCI",476
"BAGATELLE",482
"BAGATELLE  NY",483
"BAHR | CHE",486
"BAILEY PUB AND BRASSERIE",488
"BAILEYS BACKYARD",489
"BAIT AND HOOK",490
"BAKEHOUSE",491
"BALABOOSTA",493
"BALADE",494
"BALKANIKA",496
"BALTHAZAR",500
"BALUCHIâS",503
"BALVANERA",504
"BALZEM",505
"BAMBOO 52",507
"BAMIYAN AFGHAN RESTAURANT",509
"BANC CAFE",510
"BANGKOK HOUSE",512
"BANN RESTAURANT",513
"BAOBURG",515
"BAR 54",517
"BAR AMERICAIN",518
"BAR BARESCO",520
"BAR BOLONAT",523
"BAR BOULUD",524
"BAR CHEVERE",527
"BAR EOLO",528
"BAR EOLO: SICILIAN KITCHEN & WINES",529
"BAR ITALIA",532
"BAR ON FIFTH",534
"BAR RIQUE",536
"BARVETRO",544
"BARAONDA",545
"BARAWINE",546
"BARBALU",547
"BARBARESCO",549
"BARBES RESTAURANT",551
"BARBETTA RESTAURANT",552
"BARBONE",553
"BARBOUNIA",554
"BARBUTO",555
"BARCA",556
"BARCHETTA",557
"BARCHETTA (FKA BISTRO LA PROMENADE)",558
"BARCLAY BAR AND GRILL",559
"BARKOGI",561
"BARLEY AND GRAIN",562
"BARMARCHE",563
"BARN JOO",564
"BAROLO",565
"BARRACA",567
"BARRIO 47",569
"BARTOLINOS RESTAURANT",572
"BASERA INDIAN BISTRO",573
"BATEAUX NEW YORK",577
"BATHTUB GIN",578
"BATI KITCHEN",579
"BATTERSBY",581
"BATTERY GARDENS",582
"BATTERY HARRIS",583
"BEAUMARCHAIS",596
"BEAUTIQUE",598
"BEAUTY AND ESSEX",599
"BECCO",601
"BECKETTS BAR & GRILL",603
"BEECHERâS â THE CELLAR",608
"BEER AUTHORITY",609
