camis|address
30191841|351 WEST   57 STREET 10019
40359480|1 EAST   66 STREET 10065
40361708|759 BROADWAY 10003
40362098|502 AMSTERDAM AVENUE 10024
40362264|730 COLUMBUS AVENUE 10025
40362274|18 WEST HOUSTON STREET 10012
40362715|60 WALL STREET 10005
40363298|625 8 AVENUE 10018
40363426|405 LEXINGTON AVENUE 10174
40363630|1418 THIRD AVENUE 10028
40363644|464 3 AVENUE 10016
40363685|437 MADISON AVENUE 10022
40363945|148 WEST   72 STREET 10023
40364149|0 34 STREET 10001
40364179|364 WEST  110 STREET 10025
40364347|1 EAST   60 STREET 10022
40364362|21 WEST   52 STREET 10019
40364373|1028 3 AVENUE 10065
40364389|45 EAST   18 STREET 10003
40364439|62 CHARLES STREET 10014
40364443|100 CENTRE STREET 10013
40364467|180 CENTRAL PARK SOUTH 10019
40364518|108 AVENUE B 10009
40364531|215 WEST   57 STREET 10019
40364572|845 LEXINGTON AVENUE 10065
40364576|311 WEST   51 STREET 10019
40364668|251 EAST   31 STREET 10016
40364691|.1-A EAST 77 ST 10021
40364715|56 9 AVENUE 10011
40364863|225 EAST   60 STREET 10022
40364958|567 HUDSON STREET 10014
40365075|15 EAST    7 STREET 10003
40365098|93 BAXTER STREET 10013
40365166|331 WEST    4 STREET 10014
40365239|1616 2 AVENUE 10028
40365264|3 EAST   52 STREET 10022
40365280|4035 BROADWAY 10032
40365288|842 2 AVENUE 10017
40365293|146 MULBERRY STREET 10013
40365348|103 MACDOUGAL STREET 10012
40365361|15 WEST   43 STREET 10036
40365387|106 WEST HOUSTON STREET 10012
40365414|405 EAST   52 STREET 10022
40365472|113 WEST   13 STREET 10011
40365525|203 WEST   14 STREET 10011
40365577|1024 AMSTERDAM AVENUE 10025
40365644|326 WEST   46 STREET 10036
40365709|351 EAST   62 STREET 10065
40365726|319321 323 W. 46TH ST. 10036
40365789|236 WEST   56 STREET 10019
40365871|358 EAST   57 STREET 10022
40365882|413 8 AVENUE 10001
40365904|26 PELL STREET 10013
40365942|21 MOTT STREET 10013
40365968|1 LISPENARD ST 10013
40366222|80 BEAVER STREET 10005
40366379|137 WEST   33 STREET 10001
40366381|1118 1 AVENUE 10065
40366396|433 PARK AVENUE SOUTH 10016
40366473|168 WEST    4 STREET 10014
40366574|11 TRINITY PLACE 10006
40366643|225 WEST    4 STREET 10014
40366661|627 2 AVENUE 10016
40366716|155 EAST   55 STREET 10022
40366993|1361 FIRST AVENUE 10021
40367038|459 2 AVENUE 10010
40367179|421 9 AVENUE 10001
40367189|363 WEST BROADWAY 10013
40367241|1291 3 AVENUE 10021
40367338|180 CENTRAL PARK SOUTH 10019
40367339|180 CENTRAL PARK SOUTH 10019
40367365|893 9 AVENUE 10019
40367373|232 EAST   64 STREET 10065
40367407|302 EAST   12 STREET 10003
40367420|20 ST MARKS PLACE 10003
40367534|1372 BROADWAY 10018
40367544|406 EAST   73 STREET 10021
40367677|4933 BROADWAY 10034
40367715|48 WEST   55 STREET 10019
40367728|984 SECOND AVENUE 10022
40367752|521 EAST   68 STREET 10065
40367766|2080 BROADWAY 10023
40367841|1900 BROADWAY 10023
40368065|320 EAST   43 STREET 10017
40368157|68 GREENWICH AVENUE 10011
40368223|0 GRAND CENTRAL TERMINAL 10017
40368271|441 EAST    6 STREET 10009
40368313|67 WEST   44 STREET 10036
40368318|21 EAST   47 STREET 10017
40368338|1583 2 AVENUE 10028
40368346|260 6 AVENUE 10014
40368370|603 2 AVENUE 10016
40368374|140 WEST   44 STREET 10036
40368552|155157 CHRISTIE ST. 10002
40368555|123 MULBERRY STREET 10013
40368581|59 GROVE STREET 10014
40368725|245 WEST   16 STREET 10011
40368752|180 PRINCE STREET 10012
40368763|111 EAST   54 STREET 10022
40368824|783 5 AVENUE 10022
40368897|17 EAST   48 STREET 10017
40368971|1008 2 AVENUE 10022
40369016|673 MADISON AVENUE 10065
40369017|840 2 AVENUE 10017
40369097|135 EAST   50 STREET 10022
40369139|252 WEST   46 STREET 10036
40369165|302 EAST   92 STREET 10128
40369418|119 MAC DOUGAL STREET 10012
40369461|123 WEST   44 STREET 10036
40369495|2018 BROADWAY 10023
40369521|33 UNIVERSITY PLACE 10003
40369580|718 2 AVENUE 10016
40369619|126 CHAMBERS STREET 10007
40369759|1022 MADISON AVENUE 10075
40369775|359 WEST BROADWAY 10013
40369810|129 EAST   18 STREET 10003
40369869|75 MAIDEN LANE 10038
40369878|69 MACDOUGAL STREET 10012
40369928|4021 BROADWAY 10032
40369940|1134 MADISON AVENUE 10028
40369954|147 WEST FOURTH STREET 10012
40369958|210 EAST   46 STREET 10017
40370146|427 10 AVENUE 10001
40370168|326 SPRING STREET 10013
40370436|108 EAST   38 STREET 10016
40370463|960 MADISON AVENUE 10021
40370497|138140 EAST   74 STREET 10021
40370507|16 GRAMERCY PARK SOUTH 10003
40370759|172 BLEECKER STREET 10012
40370766|201 EAST 49th STREET 10017
40370856|117 MAC DOUGAL STREET 10012
40371281|312 WEST   58 STREET 10019
40371454|407 WEST   42 STREET 10036
40371588|99 EAST   52 STREET 10022
40371718|500 GRAND STREET 10002
40371805|114 CHRISTOPHER STREET 10014
40372262|605 HUDSON STREET 10014
40372417|1133 LEXINGTON AVENUE 10075
40372466|65 WEST   54 STREET 10019
40372787|314 EAST   70 STREET 10021
40372944|322 7 AVENUE 10001
40372971|370 PARK AVENUE 10022
40373113|101 WEST   55 STREET 10019
40373318|210 6 AVENUE 10014
40373462|107 EAST   34 STREET 10016
40373500|236 WEST   52 STREET 10019
40373656|72 WEST 36th STREET 10018
