camis|name_recode|name_google|status|SW_lat|SW_long|NE_lat|NE_long|LOC_lat|LOC_long|neighborhood
30191841|351 WEST 57 STREET 10019|351 W 57th St, New York, NY 10019, USA|OK|40.7664718|-73.9863303|40.7691698|-73.9836323|40.7678208|-73.9849813|Midtown
40359480|1 EAST 66 STREET 10065|1 E 66th St, New York, NY 10065, USA|OK|40.7671745|-73.9706181|40.7698725|-73.9679201|40.7685235|-73.9692691|Upper East Side
40361708|759 BROADWAY 10003|759 Broadway, New York, NY 10003, USA|OK|40.7295856|-73.9938796|40.7322836|-73.9911816|40.7309346|-73.9925306|Lower Manhattan
40362098|502 AMSTERDAM AVENUE 10024|502 Amsterdam Ave, New York, NY 10024, USA|OK|40.7853462|-73.9774474|40.7880442|-73.9747495|40.7866952|-73.9760984|Upper West Side
40362264|730 COLUMBUS AVENUE 10025|730 Columbus Ave, New York, NY 10025, USA|OK|40.7912813|-73.9694219|40.7939793|-73.9667239|40.7926303|-73.9680729|Upper West Side
40362274|18 WEST HOUSTON STREET 10012|18 W Houston St, New York, NY 10012, USA|OK|40.7245410|-73.9983330|40.7272390|-73.9956350|40.7258900|-73.9969840|Lower Manhattan
40362715|60 WALL STREET 10005|60 Wall St, New York, NY 10005, USA|OK|40.7048188|-74.0096684|40.7075167|-74.0069705|40.7061677|-74.0083195|Lower Manhattan
40363298|625 8 AVENUE 10018|625 8th Ave, New York, NY 10018, USA|OK|40.7556055|-73.9918430|40.7583035|-73.9891450|40.7569545|-73.9904940|Midtown
40363426|405 LEXINGTON AVENUE 10174|405 Lexington Ave, New York, NY 10174, USA|OK|40.7503012|-73.9767020|40.7529992|-73.9740040|40.7516502|-73.9753530|Midtown East
40363630|1418 THIRD AVENUE 10028|1418 3rd Ave, New York, NY 10028, USA|OK|40.7739911|-73.9581992|40.7766891|-73.9555012|40.7753401|-73.9568502|Upper East Side
40363644|464 3 AVENUE 10016|464 3rd Ave, New York, NY 10016, USA|OK|40.7429722|-73.9805189|40.7456702|-73.9778210|40.7443245|-73.9791783|Midtown
40363685|437 MADISON AVENUE 10022|437 Madison Ave, New York, NY 10022, USA|OK|40.7560076|-73.9767225|40.7587055|-73.9740245|40.7573566|-73.9753735|Midtown East
40363945|148 WEST 72 STREET 10023|148 W 72nd St, New York, NY 10023, USA|OK|40.7765508|-73.9820162|40.7792487|-73.9793183|40.7778997|-73.9806673|Upper West Side
40364149|0 34 STREET 10001|0 E 34th St, New York, NY 10016, USA|OK|40.7470554|-73.9858351|40.7497534|-73.9831371|40.7483982|-73.9844907|Midtown
40364179|364 WEST 110 STREET 10025|364 W 110th St, New York, NY 10025, USA|OK|40.8000817|-73.9621902|40.8027797|-73.9594922|40.8014307|-73.9608412|Upper West Side
40364347|1 EAST 60 STREET 10022|1 E 60th St, New York, NY 10022, USA|OK|40.7635240|-73.9732540|40.7662220|-73.9705560|40.7648730|-73.9719050|Upper East Side
40364362|21 WEST 52 STREET 10019|21 W 52nd St, New York, NY 10019, USA|OK|40.7591032|-73.9787884|40.7618012|-73.9760904|40.7604522|-73.9774394|Midtown
40364373|1028 3 AVENUE 10065|1028 3rd Ave, New York, NY 10065, USA|OK|40.7614823|-73.9673795|40.7641802|-73.9646816|40.7628313|-73.9660305|Upper East Side
40364389|45 EAST 18 STREET 10003|45 E 18th St, New York, NY 10003, USA|OK|40.7362600|-73.9905110|40.7389580|-73.9878131|40.7376090|-73.9891621|Midtown
40364439|62 CHARLES STREET 10014|62 Charles St, New York, NY 10014, USA|OK|40.7334918|-74.0042712|40.7361898|-74.0015732|40.7348408|-74.0029222|Lower Manhattan
40364443|100 CENTRE STREET 10013|100 Centre St, New York, NY 10013, USA|OK|40.7146984|-74.0023307|40.7173964|-73.9996327|40.7160474|-74.0009817|Lower Manhattan
40364467|180 CENTRAL PARK SOUTH 10019|180 Central Park S, New York, NY 10019, USA|OK|40.7650293|-73.9803488|40.7677273|-73.9776509|40.7663783|-73.9789998|Midtown
40364518|108 AVENUE B 10009|108 Avenue B, New York, NY 10009, USA|OK|40.7236577|-73.9828090|40.7263557|-73.9801110|40.7250067|-73.9814600|Lower Manhattan
40364531|215 WEST 57 STREET 10019|215 W 57th St, New York, NY 10019, USA|OK|40.7646616|-73.9818849|40.7673596|-73.9791870|40.7660106|-73.9805359|Midtown
