name,address,price,neighborhood,county,type,reviews,stars,match_camis,match_distance,match_name
Zerza,"308 East 6th Street,New York, NY  10003",2,East Village ,New York County, Moroccan,46,3.5,50056377,0.0816802119643074,zaabver
Zengo - NYC,"622 Third Avenue,New York, NY  10017",3,Midtown East ,New York County, Asian,468,4.0,41474378,0.0006962475971757776,zengo nyc
Zucchero e Pomodori,"1435 2nd Avenue,New York, NY  10021",2,Upper East Side ,New York County, Italian,44,3.5,50043112,0.0023576663953371046,zucchero e pomodori
Zucca Trattoria,"98 Seventh Avenue South,New York, NY  10014",2,West Village ,New York County, Italian,17,3.4,41386840,0.03373017591137041,tacoria meza
Zenkichi,"77 North 6th Street,Williamsburg,Brooklyn, NY  11211",3,Williamsburg ,Kings County, Japanese,137,4.4,41219223,0.0,zenkichi
ZEN PALATE,"115 East 18th Street,New York, NY  10003",2,Union Square ,New York County, Vegetarian,68,3.7,50008485,0.12489582909962486,the pavilion market cafe
Zarela,"953 Second Avenue,New York, NY  10022",3,Midtown East ,New York County, Mexican / Southwestern,84,3.8,41673493,0.048948657770804906,degrezia
Yuva,"230 East 58th,New York, NY  10022",3,Midtown East ,New York County, Indian,52,3.9,41148105,0.0004089815489951064,yuva frontier indian grill
Yum Yum Too,"662 9th Avenue,New York, NY  10036",2,Hell's Kitchen ,New York County, Thai,30,3.2,41393715,0.0011201800394039002,yum yum too
Yakitori Tori Shin,"1193 1st Avenue,New York, NY  10065",4,Upper East Side ,New York County, Japanese,22,4.4,41597814,0.12036136789721494,anatolia mediterranean cuisine
Yerba Buena Perry,"1 Perry Street,New York, NY  10014",2,West Village ,New York County, Latin / Spanish,121,3.9,41436639,0.006614130039295746,yerba buena
Woo Lae Oak,"148 Mercer Street,New York, NY  10012",3,SoHo ,New York County, Korean,75,3.7,41207173,0.11296270203883532,soho park
YerbaBuena,"23 Avenue A,New York, NY  10009",2,Lower East Side ,New York County, Latin / Spanish,26,4.5,41343767,0.0,yerba buena
Zampa,"306 West 13th Street,New York, NY  10014",3,West Village ,New York County, Italian,41,4.0,41302182,0.08492914176209826,dell'anima
Wolfgang's Steak House - 54th Street,"200 East 54th Street,New York, NY  10022",4,Midtown East ,New York County, Steakhouse,165,4.0,41466358,0.0,wolfgang's steakhouse
Wolfgang's Steakhouse - Tribeca,"409 Greenwich Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Steakhouse,157,3.9,41180080,0.0035694867838105813,wolfgang's steakhouse
Wined Up Wine Bar,"913 Broadway,2nd Floor,New York, NY  10010",2,Gramercy / Flatiron ,New York County, Bar / Lounge / Bottle Service,31,3.5,41475997,0.0,punch / wined up
WineBar NYC,"65 2nd Avenue,New York, NY  10003",2,East Village ,New York County, Mediterranean,1,4.0,41710298,0.09021416507318941,wise men
Windsor-NYC,"234 West 4th Street,New York, NY  10014",2,West Village ,New York County, American,-1,-1,50043031,0.0968626645789029,maison kayser
Wildwood Barbeque,"225 Park Avenue South at 18th Street,New York, NY  10003",2,Union Square ,New York County, Barbecue,82,3.5,41660744,0.048534207959991485,the w hotel banquets
The Wheeltapper,"141 East 44th Street,New York, NY  10017",2,Midtown East ,New York County, American,4,3.3,40724274,0.00354712267481246,the wheeltapper
West Bank Cafe,"407 West 42nd Street,New York, NY  10036",2,Theater District / Times Square ,New York County, Contemporary American,185,3.8,40371454,0.0,west bank cafe
Water's Edge,"401 44th Dr.,Long Island, NY  11101",4,Long Island City ,Queens County, American,52,3.7,41635743,0.3046604990471662,petey's burger
wd-50,"50 Clinton Street,New York, NY  10002",4,Lower East Side ,New York County, American,322,4.4,41490874,0.13055878505546323,subway
Wall & Water,"75 Wall Street,New York, NY  10005",2,Financial District ,New York County, Contemporary American,107,4.0,50039495,0.05718340251614006,cafe water
