name,address,price,neighborhood,county,type,reviews,stars,lng,lat
The Terrace Club,"825 South Lake Blvd.,Mahopac, NY  10541",2,Mahopac ,Putnam County, American,99,3.9,-73.74265369999999,41.3729308
ZYLO Restaurant,"225 River Street,Hoboken, NJ  07030",2,Hoboken ,Hudson County, Italian,57,4.1,-74.02766559999999,40.7392178
Zerza,"308 East 6th Street,New York, NY  10003",2,East Village ,New York County, Moroccan,46,3.5,-73.98807790000001,40.7269931
Zinc,"964 Chapel Street,New Haven, CT  06510",3,New Haven ,New Haven County, Contemporary American,164,4.4,-72.9278192,41.3069315
Zitoune,"1127 W. Boston Post Road,Mamaroneck, NY  10543",3,Mamaroneck ,Westchester County, Moroccan,26,3.5,-73.74348599999999,40.939515
Zengo - NYC,"622 Third Avenue,New York, NY  10017",3,Midtown East ,New York County, Asian,468,4.0,-73.97560829999999,40.7497508
Zucchero e Pomodori,"1435 2nd Avenue,New York, NY  10021",2,Upper East Side ,New York County, Italian,44,3.5,-73.95730139999999,40.7706645
Zucca Trattoria,"98 Seventh Avenue South,New York, NY  10014",2,West Village ,New York County, Italian,17,3.4,-74.00345659999999,40.7328524
Zenkichi,"77 North 6th Street,Williamsburg,Brooklyn, NY  11211",3,Williamsburg ,Kings County, Japanese,137,4.4,-73.9608301,40.7189722
ZEN PALATE,"115 East 18th Street,New York, NY  10003",2,Union Square ,New York County, Vegetarian,68,3.7,-73.98761379999999,40.7368831
Zarela,"953 Second Avenue,New York, NY  10022",3,Midtown East ,New York County, Mexican / Southwestern,84,3.8,-73.9685203,40.7553112
Zeina Restaurant,"441 Raritan Avenue,Highland Park, NJ  08904",2,New Brunswick ,Middlesex County, Mediterranean,35,3.8,-74.4246122,40.5005439
Yuva,"230 East 58th,New York, NY  10022",3,Midtown East ,New York County, Indian,52,3.9,-73.9658905,40.7601798
Yum Yum Too,"662 9th Avenue,New York, NY  10036",2,Hell's Kitchen ,New York County, Thai,30,3.2,-73.9904652,40.7609904
Yakitori Tori Shin,"1193 1st Avenue,New York, NY  10065",4,Upper East Side ,New York County, Japanese,22,4.4,-73.9596636,40.7631869
Yerba Buena Perry,"1 Perry Street,New York, NY  10014",2,West Village ,New York County, Latin / Spanish,121,3.9,-74.00101389999999,40.7359795
Yono's Restaurant,"25 Chapel Street,Albany, NY  12210",3,Albany ,Albany County," Global, International",30,4.4,-73.7516192,42.6534699
Woo Lae Oak,"148 Mercer Street,New York, NY  10012",3,SoHo ,New York County, Korean,75,3.7,-73.9982464,40.7248285
YerbaBuena,"23 Avenue A,New York, NY  10009",2,Lower East Side ,New York County, Latin / Spanish,26,4.5,-73.9860106,40.7229309
Zampa,"306 West 13th Street,New York, NY  10014",3,West Village ,New York County, Italian,41,4.0,-74.0036263,40.7391508
Wolfgang's Steak House - 54th Street,"200 East 54th Street,New York, NY  10022",4,Midtown East ,New York County, Steakhouse,165,4.0,-73.9685741,40.7579569
Woodcliff Hotel & Spa- Horizons Restaurant,"199 Woodcliff Dr,Fairport, NY  14450",3,Rochester ,Monroe County, American,5,4.6,-77.4599709,43.045527
X2O Xaviars on the Hudson,"71 Water Grant Street,Yonkers, NY  10701",3,Yonkers ,Westchester County, Contemporary American,327,4.5,-73.90443909999999,40.9351255
Wolfgang's Steakhouse - Tribeca,"409 Greenwich Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Steakhouse,157,3.9,-74.0096222,40.7212114
The Wishing Well,"745 Saratoga Road,Wilton, NY  12831",3,Saratoga Springs ,Saratoga County, American,19,4.7,-73.7660033,43.1438722
Witherspoon Grill,"57 Witherspoon Street,Princeton, NJ  08540",3,Princeton ,Mercer County, Steak,46,3.8,-74.6605414,40.3514951
Winfield's - Hyatt Regency Greenwich,"1800 East Putnam Avenue,Old Greenwich, CT  06870",3,Old Greenwich ,Fairfield County, American,2,3.5,-73.56734329999999,41.0469895
Wined Up Wine Bar,"913 Broadway,2nd Floor,New York, NY  10010",2,Gramercy / Flatiron ,New York County, Bar / Lounge / Bottle Service,31,3.5,-73.989859,40.7396272
The Wine Thief Wine Bar & Bistro,"431 Elmwood Ave,Buffalo, NY  14222",2,Buffalo ,Erie County, Contemporary American,27,3.7,-78.8768644,42.9087428
WineBar NYC,"65 2nd Avenue,New York, NY  10003",2,East Village ,New York County, Mediterranean,1,4.0,-73.98980809999999,40.7260895
The Wine Bar & Restaurant,"40 First Avenue,Atlantic Highlands, NJ  07716",3,Atlantic Highlands ,Monmouth County, Contemporary American,34,4.2,-74.0371638,40.4148661
Windsor-NYC,"234 West 4th Street,New York, NY  10014",2,West Village ,New York County, American,-1,-1,-74.0032389,40.734322
Wildwood Barbeque,"225 Park Avenue South at 18th Street,New York, NY  10003",2,Union Square ,New York County, Barbecue,82,3.5,-73.9879502,40.7371329
Wheatfields Bistro & Wine Bar,"54 The Crossings Plaza Suite M,Clifton Park, NY  12065",2,Albany ,Saratoga County, Italian,53,4.1,-73.7718387,42.8610056
Willy Parkers American Bar & Grill,"71 Hillside Avenue,Williston Park, NY  11595",3,Williston Park ,Nassau County, American,-1,-1,-73.6420272,40.7571315
Wine On Third,"501 Third Street,Niagara Falls, NY  14301",2,Buffalo ,Niagara County, American,2,4.5,-79.05912889999999,43.0908711
Whispers,"200 Monmouth Ave.,Spring Lake, NJ  07762",3,Spring Lake  ,Monmouth County, American,124,4.4,-74.02861349999999,40.14642670000001
West End Station,"700 1st Street,Hoboken, NJ  07030",2,Hoboken ,Hudson County, American,23,3.9,-74.0421497,40.7399642
The Wheeltapper,"141 East 44th Street,New York, NY  10017",2,Midtown East ,New York County, American,4,3.3,-73.97438749999999,40.7526808
Wheatfields Restaurant & Bar,"440 Broadway,Saratoga Springs, NY  12866",2,Albany ,Saratoga County, Italian,22,4.0,-73.78475,43.08232
West Bank Cafe,"407 West 42nd Street,New York, NY  10036",2,Theater District / Times Square ,New York County, Contemporary American,185,3.8,-73.99280639999999,40.7588307
Wildfish Restaurant,"507 Guy Lombardo Avenue,Freeport, NY  11520",2,Freeport ,Nassau County, Seafood,2,3.0,-73.5816816,40.6398266
West East Bistro,"758 S. Broadway,Hicksville, NY  11801",2,Hicksville ,Nassau County, Fusion / Eclectic,44,4.4,-73.5047846,40.7501354
Webb's Captain's Table,"115 West Lake Road,Mayville, NY  14757",2,Mayville ,Chautauqua County, Steak,21,4.2,-79.49442549999999,42.2376783
