name,neighborhood,address,url,is_nyc
b'1 Nocello',b'Midtown West',"b'257 West 55th Street,New York, NY  10019'",b'1-nocello?scpref=107',b'True'
b'3 Star Diner',b'Upper East Side',"b'1462 First Avenue,New York, NY  10021'",b'3-star-diner?scpref=107',b'True'
b'3 Forty Grill',b'Hoboken',"b'340 Sinatra Drive,Hoboken, NJ  07030'",b'3-forty-grill?scpref=107',b'False'
b'3 Ave Dang Lai Palace',b'Gramercy / Flatiron',"b'180 3rd Avenue,New York, NY  10003'",b'3-ave-dang-lai-palace?scpref=107',b'True'
b'21 Main',b'West Sayville',"b'21 Montauk Highway,West Sayville, NY  11796'",b'21-main?scpref=107',b'False'
b'21 Club',b'Midtown West',"b'21 West 52nd Street,New York, NY  10019'",b'21-club?scpref=107',b'True'
b'15 East Restaurant',b'Union Square',"b'15 East 15th Street,New York, NY  10003'",b'15-east-restaurant?scpref=107',b'True'
b'1770 House',b'East Hampton',"b'143 Main Street,East Hampton, NY  11937'",b'1770-house?scpref=107',b'False'
b'2 West',b'Financial District',"b'2 West Street,New York, NY  10004'",b'2-west?scpref=107',b'True'
b'1 Vizio',b'Midtown West',"b'255 West 55th Street,New York, NY  10019'",b'1-vizio?scpref=107',b'True'
b'107 West',b'Upper West Side',"b'2787 Broadway,New York, NY  10025'",b'107-west?scpref=107',b'True'
b'1 Republik Restaurant & Lounge',b'Kips Bay',"b'613 2nd Ave,,New York, NY  10016'",b'1-republik-restaurant-and-lounge?scpref=107',b'True'
b'10 Downing Food & Wine',b'Greenwich Village',"b'10 Downing Street,New York, NY  10014'",b'10-downing-food-and-wine?scpref=107',b'True'
b'1 or 8',b'Williamsburg',"b'66 South 2nd St.,Brooklyn, NY  11211'",b'1-or-8?scpref=107',b'True'
b'508 Restaurant & Bar',b'SoHo',"b'508 Greenwich Street,New York, NY  10013'",b'508-restaurant-and-bar?scpref=107',b'True'
b'ZYLO Restaurant',b'Hoboken',"b'225 River Street,Hoboken, NJ  07030'",b'zylo-restaurant?scpref=107',b'False'
